label	sentence
0	Chiều dài nước nhảy là một đặc trưng quan trọng cần được tính toán chính xác vì nó ảnh hưởng trực tiếp đến chiều dài bể tiêu năng.  Vì vậy, mục đích của nghiên cứu này là phát triển và đánh giá sáu mô hình học máy, gồm có: Cây quyết định (Decision Tree – DT), Rừng cây ngẫu nhiên (Random Forest - RT), Tăng cường thích ứng (Adaptive Boosting – Ada), Tăng cường độ dốc (Gradient Boosting - GB), Cây bổ sung (Extra Trees - ET) và Máy Vector hỗ trợ (Support Vector Machine – SVM). Nghiên cứu này đã sử dụng Định lý $\pi$-Buckingham để tìm năm tham số không thứ nguyên phục vụ cho các mô hình học máy và ứng dụng các mô hình này để đánh giá mức độ ảnh hưởng của các biến độc lập đến biến mục tiêu.
0	Phương pháp học máy cho thấy hiệu quả vượt trội so với phương pháp công thức kinh nghiệm. Các mô hình học máy có xét đến ảnh hưởng của độ nhám và chiều rộng lòng dẫn, tính nhớt của chất lỏng, có sai số dự báo nhỏ hơn so với các công thức kinh nghiệm. Mô hình ET cho kết quả tốt nhất với hệ số Nash đạt 0.99, sau đó là Ada, RF, GB, DT, SVR, theo thứ tự giảm dần. Kết quả nghiên cứu cho thấy mô hình ET có thể thay thế các công thức kinh nghiệm trong việc tính toán chiều dài nước nhảy trong kênh lăng trụ đáy bằng có mặt cắt chữ nhật.
0	Cho đến nay, chiều dài nước nhảy được tính toán bằng các công thức kinh nghiệm, không có phương trình thuần túy lý thuyết cho việc này. Các công thức kinh nghiệm có ưu điểm là đơn giản, dễ sử dụng. Chỉ cần biết độ sâu và vận tốc trước nước nhảy hoặc hai độ sâu nước nhảy là tính được chiều dài của nó. Các nhà khoa học như Chertausov (1935), Pikalov (1954), Silvester (1964), Hager (1992) đã đề xuất các công thức tính tỷ số chiều dài với độ sâu trước nước nhảy, gọi là chiều dài tương đối của nước nhảy, theo số Froude trước nước nhảy trong kênh chữ nhật nằm ngang (Hager, 1992; Mammadov, 2017; Silvester R., 1964) (Brakeni et al., 2021) [5; 12; 16; 3].
0	Các công thức này không cần độ sâu sau nước nhảy, giúp cho việc tính toán đơn giản mà vẫn đảm bảo độ chính xác, vì độ sâu sau nước nhảy có thể được tính từ độ sâu và số Froude trước nước nhảy. Tuy nhiên, các công thức kinh nghiệm có hạn chế là: không đồng nhất nên dẫn đến các kết quả khác nhau; một số trường hợp có sai số lớn với sai số trung bình lên đến 27% (xem Bảng 5); không xét đến ảnh hưởng của chiều rộng và độ nhám lòng dẫn, tính nhớt của chất lỏng.
0	Vì vậy, cần có một phương pháp khác để khắc phục những hạn chế trên và tính toán chính xác hơn chiều dài nước nhảy trong kênh chữ nhật nằm ngang. Hình 1 minh họa các đặc trưng hình học của nước nhảy, trong đó: $L_r$ là chiều dài khu xoáy; $L_j$ là chiều dài nước nhảy; $h_1$ là độ sâu trước nước nhảy; $h_2$ là độ sâu sau nước nhảy.  Hiện nay, các thuật toán học máy (Machine Learning – ML) đã và đang được ứng dụng rộng rãi trong nhiều lĩnh vực khác nhau, bao gồm tài nguyên nước nói chung và thủy lực nói riêng (Ho et al., 2022; Truong et al., 2021) [7; 17].
0	Các mô hình ML thuộc nhóm các mô hình dựa trên cơ sở dữ liệu, đã được áp dụng để nghiên cứu các thông số của nước nhảy từ năm 2012 (Abbaspour et al., 2013; Naseri & Othman, 2012) [1; 13]. Những mô hình này sử dụng mối quan hệ thống kê giữa dữ liệu đầu vào và đầu ra để đưa ra dự báo. Việc ứng dụng các mô hình ML cho hiệu quả tốt trong nghiên cứu các vấn đề của cơ học chất lỏng và thủy lực, hỗ trợ các mô hình vật lý để giải quyết các bài toán thực tế (Brunton et al., 2020) [4].
0	Vì những nguyên nhân kể trên, mục đích của nghiên cứu này là phát triển và đánh giá khả năng dự báo của 6 mô hình ML , gồm Cây quyết định (Decision Tree – DT), Rừng cây ngẫu nhiên (Random Forest - RT), Tăng cường thích ứng (Adaptive Boosting – Ada), Tăng cường độ dốc (Gradient Boosting - GB), Cây bổ sung (Extra Trees - ET) và Máy Vector hỗ trợ (Support Vector Machine – SVM). Kết quả dự báo của sáu mô hình này sẽ được so sánh với bốn công thức kinh nghiệm nhằm tìm ra mô hình hiệu quả nhất cho việc tính toán chiều dài nước nhảy trong kênh lăng trụ đáy bằng có mặt cắt chữ nhật.
0	Các máng A, B, C, D, E tạo ra nước nhảy sau chân dốc của đập tràn. Trong khi đó, máng F tạo nước nhảy sau cửa cống phẳng, đáy cống nằm ngang.  Các kích cỡ và cách sắp xếp máng khác nhau giúp xác định ảnh hưởng của chiều rộng máng (b) và góc dòng chảy đi vào nước nhảy. Các thí nghiệm có nhiều thông số được liệt kê trong Bảng 1, cho phép quan sát nước nhảy với các kích cỡ khác nhau. Các máng có tường bên làm bằng kính để tiện theo dõi thí nghiệm.
0	Tổng cộng 120 mẫu kết quả thí nghiệm đã được sử dụng cho nghiên cứu này. Bộ dữ liệu này được chia làm hai phần để phục vụ các mô hình ML , phần thứ nhất gồm 96 mẫu (80% số liệu) nhằm mục đích huấn luyện mô hình (training), phần thứ hai gồm 24 mẫu (20% số liệu) để kiểm định mô hình (testing). Thuật toán ML sẽ chọn ngẫu nhiên 24 số liệu kiểm định dùng chung cho tất cả các mô hình nhằm đảm bảo tính khách quan, không phụ thuộc vào ý muốn của người sử dụng mô hình.
0	Mô hình cây quyết định (DT) là một mô hình được sử dụng khá phổ biến và hiệu quả trong bài toán dự báo của học máy có giám sát. Khác với những thuật toán khác trong học có giám sát, mô hình cây quyết định không tồn tại phương trình dự báo. Chúng ta cần tìm ra một cây quyết định dự báo tốt trên tập huấn luyện và sử dụng cây quyết định này dự báo trên tập kiểm tra. Các tiêu chí để lựa chọn biến phù hợp là các độ đo như entropy, Gini đo lường mức độ tinh khiết (purity) và vẩn đục (impurity) của một biến nào đó. Chỉ số Gini được sử dụng trong thuật toán CART (Classification And Regression Tree) của sklearn.
